,P(x),P(y),D_In,D_In_max,D_In_min,D_Out,D_Out_max,D_Out_min,D_Cyl,D_Cyl_max,D_Cyl_min,Rz_In_max,Rz_In,Rz_Out_max,Rz_Out,Rz_Cyl_max,Rz_Cyl,Rt_In,Rt_Out,Rt_Cyl,Rq_In,Rq_Out,Rq_Cyl,Ra_In,Ra_Out,Ra_Cyl,Moy_F_T1&T2,Moy_F_T2&T3,Moy_F_T3&T4,Max_F_T1&T2,Max_F_T2&T3,Max_F_T3&T4,Moy_M_T1&T2,Moy_M_T2&T3,Moy_M_T3&T4,Max_M_T1&T2,Max_M_T2&T3,Max_M_T3&T4,Et_Consommee
10,14800,0,6359.222,6387.2080000000005,6330.999,6351.7119999999995,6377.911999999999,6325.840999999999,6359.849,6386.8777549999995,6332.353818,11.47924805,3.531005859,13.73583984,5.8015136720000005,3.346923828,1.799853563,11.47924805,13.83374023,3.346923828,0.788431883,1.10340941,0.643295169,0.343426049,0.461056501,0.432480484,51.447697999999995,90.669089,19.765632999999998,58.719051,106.66946499999999,87.34402299999999,0.054265999999999995,0.355473,0.445049,0.077334,0.565628,0.577066,414.041022
11,14800,-14800,6359.72,6385.630999999999,6334.170999999999,6351.398,6371.4,6328.866,6360.228,6386.268276,6334.755488000001,6.9377441410000005,3.273486376,5.526367187999999,2.478564501,3.657958984,1.8893554209999999,6.9377441410000005,5.526367187999999,3.657958984,0.605628431,0.49755770000000005,0.628298283,0.30140447600000003,0.310792089,0.439112842,50.480168,91.117613,20.62902,60.037808,107.126804,88.22184399999999,0.056791999999999995,0.355087,0.4419,0.08728,0.561244,0.576902,425.598051
12,14800,-29600,6360.696999999999,6375.977,6345.303000000001,6352.425,6380.852,6321.378000000001,6361.311,6378.421651,6343.1552280000005,8.739746094,2.9354004860000003,13.36132813,6.8152341839999995,1.5988769530000002,1.1806151870000001,8.739746094,16.03320313,1.860351563,0.662508309,1.3318175079999999,0.420225888,0.30010417100000003,0.623245418,0.324499518,51.578157,91.605199,21.647064999999998,60.934456999999995,105.70633400000001,91.589736,0.05853,0.35402,0.46107,0.090264,0.563346,0.580965,433.79231500000003
13,14800,-44400,6360.113,6379.695,6341.081,6353.66,6377.326999999999,6332.9980000000005,6360.81,6384.356614,6338.49322,5.157226563,2.748779297,8.166503906,3.616748095,2.177490234,1.3311035629999999,5.157226563,8.166503906,2.360839844,0.462642014,0.7394528990000001,0.47283911700000003,0.258436024,0.41836342200000004,0.366265267,51.268343,93.30459499999999,22.781654,59.414995999999995,107.62260500000001,89.467735,0.060903,0.36662100000000003,0.46584200000000003,0.094628,0.564919,0.580868,437.66546100000005
14,14800,-59200,6360.674,6390.241999999999,6334.821999999999,6354.0380000000005,6370.634,6336.7390000000005,6362.691,6392.4299,6330.905605,4.2888183589999995,2.330468655,7.0002441410000005,3.322021484,2.030761719,1.3115723129999999,4.2888183589999995,7.002929687999999,2.314453125,0.492790878,0.687901855,0.418639153,0.284324229,0.355918795,0.29906859999999996,52.332933000000004,94.82479000000001,20.934788,60.196755,112.321591,91.971087,0.06135499999999999,0.36768,0.453979,0.094949,0.5722649999999999,0.58138,424.20791399999996
15,22200,-7400,6360.093000000001,6387.3640000000005,6333.545999999999,6350.805,6379.066,6324.929,6360.182,6385.265733,6335.292724,5.990234375,2.9018554689999996,5.6667480470000005,2.996337891,2.892822266,1.640869141,5.990234375,5.6667480470000005,3.29296875,0.613820016,0.594664454,0.5994440910000001,0.342982471,0.36948859700000003,0.44029539799999995,56.00500400000001,101.944925,23.879837,66.223649,118.730201,98.990942,0.062081,0.38551399999999997,0.47866499999999995,0.097454,0.602547,0.613267,453.462942
16,22200,-37000,6360.835,6387.959,6332.088000000001,6352.659000000001,6365.946,6340.276,6360.9580000000005,6389.859959,6330.417929,3.010742188,1.674755812,5.068847656,3.15170908,2.052001953,1.387695313,3.010742188,5.068847656,2.333251953,0.350159049,0.671349883,0.48706457,0.239684552,0.431893408,0.395282298,52.996178,98.86734399999999,21.365332000000002,61.840075,117.158969,95.064043,0.061707000000000005,0.388585,0.467271,0.097152,0.589486,0.5931810000000001,432.69571399999995
17,22200,-51800,6359.552,6375.47,6345.055,6353.7,6382.244000000001,6323.834,6360.982,6380.806013,6341.997257,2.554199219,1.393896461,6.650878906,3.6205565930000003,4.2189941410000005,1.851367235,2.554199219,6.650878906,4.2189941410000005,0.304192275,0.727452219,0.706210852,0.205065072,0.38859152799999996,0.44352874200000003,54.934527,100.77244,24.262869,64.880735,118.562731,95.921712,0.06230599999999999,0.375475,0.47772299999999995,0.101725,0.58209,0.598386,447.70188600000006
18,22200,-66600,6360.13,6390.773,6329.366,6353.363,6375.073,6330.263000000001,6359.937,6389.235528,6333.094664,2.468505859,1.546826124,7.018066406,3.462597609,2.7358398439999996,1.4952636959999999,2.638671875,7.051269531,2.7358398439999996,0.323080152,0.729642272,0.51567626,0.22367557899999999,0.40596088799999996,0.37640655,55.315084999999996,102.084835,25.439641,63.345711,121.110955,99.31720200000001,0.061595000000000004,0.364629,0.45439700000000005,0.099503,0.564367,0.586863,446.60732699999994
19,29600,0,6359.156,6381.418000000001,6335.5509999999995,6350.044,6374.779,6325.071999999999,6358.943,6391.1908189999995,6327.138154,2.976318359,1.711376905,4.18359375,2.386767626,3.537109375,2.10874033,3.272216797,4.18359375,3.933349609,0.378756046,0.5797032120000001,0.688789845,0.262208581,0.362576485,0.471692502,57.829997,106.661915,24.864697,66.900522,126.826955,103.698319,0.065038,0.394307,0.484026,0.10178,0.604078,0.614737,457.72438700000004
20,29600,-14800,6359.593000000001,6389.43,6332.906,6350.982,6377.241,6324.357,6359.89,6382.186965999999,6337.9744789999995,3.499023438,1.7784668209999999,11.15356445,5.747998237999999,4.643310547,2.2530274390000002,3.499023438,12.4128418,4.643310547,0.36166742399999996,1.263871312,0.8042053579999999,0.227017209,0.64726162,0.580810547,58.023304,106.587814,22.962956,68.272871,123.60538799999999,104.441963,0.06866,0.39955,0.46930600000000006,0.1142,0.596461,0.60718,451.011937
21,29600,-29600,6359.651999999999,6390.831,6330.016,6351.491,6376.396,6325.834,6359.8330000000005,6393.06771,6327.90309,2.167480469,1.4090331790000001,15.8137207,4.757519722,3.184570313,1.92729497,2.493652344,15.8137207,3.734619141,0.292419434,1.004959345,0.651209116,0.206393883,0.4640055,0.461736441,57.216151,105.807882,24.849058,66.24988,123.12193799999999,106.873811,0.065433,0.38115,0.464606,0.10360899999999999,0.589194,0.604291,454.449895
22,29600,-44400,6359.943,6384.456,6333.826,6351.779,6379.535,6324.893,6360.368,6391.40346,6329.896859,2.420654297,1.4503418209999999,5.1657714839999995,3.163134813,2.41796875,1.425634742,2.420654297,5.6203613279999995,2.458496094,0.342728972,0.688735306,0.501487315,0.236735225,0.44468709799999995,0.38422119600000004,57.6027,108.245244,23.831393,69.63189399999999,124.51407900000001,105.98451899999999,0.068423,0.40325500000000003,0.470333,0.115281,0.593658,0.5989949999999999,441.025755
23,29600,-59200,6360.05,6381.048000000001,6338.604,6350.705,6367.754,6334.705,6361.052,6392.638719,6330.000219,3.2485351560000004,1.851318359,2.8012695310000004,2.243310452,2.065673828,1.5276855230000002,3.2485351560000004,2.9731445310000004,2.500244141,0.386773527,0.43222427399999996,0.517104983,0.265136391,0.308427453,0.407014757,58.451722,108.964349,23.019838,68.61085600000001,129.380719,99.282741,0.069596,0.40520900000000004,0.46490200000000004,0.115772,0.6033609999999999,0.607002,434.982411
24,37000,-7400,6360.347,6382.5509999999995,6337.262,6350.312,6372.964,6327.097,6360.031,6382.860272,6337.468097,3.638671875,2.212988377,8.469482422,4.008398533,2.743408203,1.719140649,3.638671875,8.469482422,3.485107422,0.424153447,0.837202847,0.598967314,0.271185637,0.49930349,0.442373663,60.84855699999999,114.163374,26.639134000000002,71.19382,134.774009,109.88533999999999,0.069137,0.417971,0.485403,0.119583,0.613996,0.624617,463.453479
25,37000,-22200,6360.06,6386.54,6332.3730000000005,6349.715999999999,6366.479,6329.153,6360.102,6392.3709659999995,6326.622106,4.327148438,2.373193264,5.5368652339999995,3.791015625,2.347167969,1.675927758,4.327148438,5.9348144529999995,2.495361328,0.49833279799999997,0.7891194220000001,0.579383433,0.304036498,0.564176142,0.434423834,60.802603000000005,113.94148700000001,27.261584999999997,72.744637,133.163962,111.27186,0.06754500000000001,0.404136,0.48185600000000006,0.113075,0.613426,0.625896,466.25632
26,37000,-37000,6359.922,6387.933000000001,6332.861999999999,6351.557,6374.943,6327.1669999999995,6359.63,6389.580991,6331.104848,1.608886719,1.31728518,5.199951172,3.203418016,3.413085938,1.994238257,1.827148438,5.3972167970000005,3.468505859,0.311222643,0.687197745,0.71748364,0.237879232,0.43793860100000004,0.5547271970000001,58.435534,112.813424,26.786084000000002,68.228372,133.145809,111.14051,0.07088799999999999,0.402963,0.48336599999999996,0.117576,0.6025590000000001,0.6100409999999999,458.231072
27,37000,-51800,6359.181,6373.105,6345.403,6351.544,6382.5830000000005,6320.929,6360.888000000001,6389.614756,6331.66515,3.1665039060000004,1.8610351090000001,7.144042969,3.6977539060000004,2.25,1.566455126,3.5454101560000004,7.2775878910000005,2.601806641,0.36488711799999995,0.8314913509999999,0.535682023,0.23474225399999998,0.501390994,0.412994385,60.423019999999994,111.10623899999999,24.031289,73.19918299999999,137.171886,99.802964,0.07202,0.416054,0.47261000000000003,0.119843,0.6066199999999999,0.612387,441.11772300000007
28,37000,-66600,6359.696,6381.26,6337.170999999999,6350.897,6376.073,6326.71,6361.279,6384.561197999999,6335.841838,5.5974121089999995,2.371582031,3.644287109,2.226367235,2.294677734,1.295703173,5.5974121089999995,3.644287109,2.294677734,0.450260371,0.452794433,0.502612174,0.260464996,0.323346525,0.381755054,59.308797999999996,113.75721499999999,27.863881,70.891823,136.471765,113.115928,0.070142,0.39318600000000004,0.472408,0.11751500000000001,0.59021,0.605699,462.410565
29,44400,0,6357.968000000001,6386.604,6332.813,6348.56,6374.231,6319.134,6359.603,6386.921714,6330.416797999999,2.913085938,1.798242211,9.879394531,4.33139658,3.919677734,2.12070322,2.913085938,9.879394531,3.919677734,0.388064563,0.882895529,0.759612501,0.27077826899999996,0.476135939,0.539975584,61.282891000000006,115.58831599999999,27.373732,71.317068,138.111151,108.965254,0.06951900000000001,0.404378,0.476209,0.119528,0.601194,0.6139819999999999,459.804879
30,44400,-14800,6359.049,6386.331,6334.9169999999995,6349.467,6382.840999999999,6317.139,6359.765,6384.454839,6334.2058640000005,2.8647460939999996,1.988037109,5.082519531,3.1127929689999996,2.869140625,1.444726586,3.3344726560000004,5.2868652339999995,2.869140625,0.410969436,0.728828371,0.557756364,0.280078322,0.48977825,0.44652220600000003,61.101318000000006,115.426996,27.635078000000004,73.73624000000001,135.650877,115.84103300000001,0.06926,0.396169,0.479072,0.122055,0.608278,0.619808,472.753712
31,44400,-29600,6359.531,6380.334,6338.894,6350.353,6376.12,6323.284000000001,6359.385,6386.03105,6334.031266,2.440917969,1.7155761719999998,3.578369141,2.937255859,4.793457031,2.367431641,2.531005859,3.953857422,4.793457031,0.363710254,0.621235847,0.805547714,0.26661834100000004,0.46176773299999996,0.557698667,60.353632999999995,117.102861,25.797784,73.01154,138.2828,115.81158899999998,0.071495,0.400074,0.472141,0.122676,0.601759,0.6121880000000001,460.300425
32,44400,-44400,6359.842,6385.246999999999,6331.630999999999,6350.83,6383.933000000001,6320.227,6360.977,6383.307798,6336.698574,1.8371582030000002,1.447021484,4.264892578,2.959082127,22.76245117,6.105200291,1.9284667969999998,5.2053222660000005,22.76245117,0.330064684,0.6398963329999999,3.068808317,0.25052166,0.45358440299999997,1.228656054,62.14283199999999,119.863825,29.629695,72.02342800000001,137.411173,115.931325,0.07445700000000001,0.411599,0.48305699999999996,0.130209,0.609245,0.623624,472.28936799999997
33,44400,-59200,6359.385,6390.464,6327.891,6351.14,6378.955,6321.74,6360.585,6385.210978,6335.342489,2.190429688,1.427490234,8.799072266,3.337011814,2.8696289060000004,1.8410644530000002,2.7026367189999996,8.799072266,2.8696289060000004,0.302224755,0.75612241,0.647167385,0.214487225,0.41377749999999996,0.533647478,62.277768,116.412149,27.980017,74.424812,137.970805,114.93713100000001,0.073297,0.40027199999999996,0.49083000000000004,0.128778,0.602228,0.6172270000000001,475.59618600000005
34,51800,-7400,6359.096,6381.835,6335.696,6349.294,6375.9,6322.265,6359.879,6383.668537,6335.052621,2.8647460939999996,1.441552758,3.9609375,2.633300781,11.71386719,4.3214845660000005,2.8647460939999996,4.159179688,11.71386719,0.36401087,0.642837465,1.792380452,0.237567797,0.448855668,0.959204733,64.839201,124.124931,29.242121,77.742476,147.49796,121.510669,0.076036,0.428375,0.502471,0.133353,0.625538,0.6416189999999999,487.68198499999994
35,51800,-22200,6359.757,6380.081999999999,6338.9890000000005,6348.093000000001,6376.751,6317.866,6359.632,6385.9626579999995,6332.576806,2.717041016,1.729492188,5.318847656,2.93686533,3.647216797,2.315087795,2.895751953,5.352783203,4.695800781,0.361430794,0.6763358709999999,0.807114422,0.264425665,0.468978226,0.584581316,61.383363,122.30600600000001,28.765564,78.074306,145.11416599999998,121.12251,0.074638,0.408742,0.490646,0.126922,0.61153,0.625051,480.14459000000005
36,51800,-37000,6358.983,6384.124,6335.995,6349.834,6382.233,6317.843000000001,6360.553000000001,6376.9276469999995,6342.560922,2.646240234,1.70097661,4.412109375,2.475097656,3.185546875,1.8914062980000002,2.844726563,4.412109375,4.087158203,0.34713512700000004,0.548365355,0.652646899,0.24229753,0.41201168299999996,0.42041808399999997,63.018702000000005,122.20414099999999,27.205821999999998,75.72991800000001,145.274617,110.81398200000001,0.075889,0.41936,0.484404,0.130633,0.615704,0.623275,465.022493
